,avg_rank,avg_mse,avg_mae,wins,params,train_s,pareto
SeasonalNaive,7.142857142857143,1.398308613475282,0.6029251065846168,1,0.0,0.0,True
VAR,8.678571428571429,1.5652880077915532,0.8519226876752717,0,0.0,0.7857980387551444,False
NLinear,3.857142857142857,0.6914495566596537,0.47946939001624866,4,18624.0,2.1466506818930307,True
DLinear,4.714285714285714,0.7491903875253564,0.5178703431774491,3,37248.0,2.8107553919156394,False
LSTM,5.607142857142857,0.8356560280537503,0.4896548023113874,0,400912.0,93.0699573258559,False
Transformer,6.285714285714286,0.7154013814755075,0.5059066372425541,0,92693.0,55.84757773081461,False
PatchTST,2.2857142857142856,0.630021011614373,0.4593024424346629,14,216462.0,153.05295867390103,True
iTransformer,3.107142857142857,0.6250486387172112,0.46111605994017724,4,434638.0,33.33054303791788,False
CSLL,3.3214285714285716,0.6524157904456181,0.46739542255934546,2,58569.0,13.714801208840477,True
