,avg_mse,avg_mae,wins_mse
SeasonalNaive,1.3177639058871513,0.5788409967502043,1.0
VAR,1.5652880077915532,0.8519226876752717,
NLinear,0.6589092077326718,0.49511706783489,4.0
DLinear,0.7076574117099983,0.5320709573385892,3.0
LSTM,0.83565602805375,0.5130489784201312,
Transformer,0.7154013814755075,0.5299027316555782,
PatchTST,0.6000441564450963,0.47458703491231197,14.0
iTransformer,0.586558827660365,0.47053562089617107,7.0
CSLL,0.6150303065703284,0.48055605856302314,2.0
