dataset,H,regime,CSLL2-backbone,CSLL2-phaseoff,CSLL2,CSLL2H
ili_us_state,2,phase,0.35944583121988066,0.35378468670561314,0.2995382840576055,0.3078828500789896
ili_us_state,8,phase,0.8773282192565582,0.8694714345587666,0.7827957551058895,0.7372549989721277
ili_japan,2,phase,0.9248042271740994,0.8524186460982772,0.7028826055896745,0.7352995830722088
metr_la,12,mixing,0.4531844707322413,0.42775174025520313,0.4444464123486649,0.4401643757369778
metr_la,24,mixing,0.6786871306434817,0.6315110023033704,0.6536735256725614,0.6770857664198866
weather,96,mixing,,0.1562417167585352,0.1835438873558079,0.16151687274233967
weather,336,mixing,,0.26258419934709737,0.2854809763798206,0.2706836112967984
