dataset,H,best_baseline,csll_mse,base_mse,dm_stat,p_value,csll_better,significant
metr_la,12,DLinear,0.44366864400453127,0.44401793078641527,2.993148231274353,0.00277101978047245,True,True
metr_la,24,DLinear,0.6467807216108105,0.6527821520984327,7.271565758447849,3.950173521616307e-13,True,True
metr_la,48,DLinear,0.9257925384617121,0.8906392056804534,9.508889700551372,0.0,False,True
metr_la,96,DLinear,1.2528597666655588,1.137895822663906,8.574611476186876,0.0,False,True
pems_bay,12,iTransformer,0.3238595719247608,0.27322798381403235,1.2651572603421877,0.20584327571420147,False,False
pems_bay,96,iTransformer,1.0241606506627685,0.6896052336975509,32.01162228777307,0.0,False,True
ili_us_state,2,iTransformer,0.2954163936473543,0.240224833596743,1.0939112629527739,0.2777439603325822,False,False
ili_us_state,4,iTransformer,0.4848146683998413,0.36798158830102823,3.45485343113639,0.0009526495438658689,False,True
ili_us_state,8,iTransformer,0.7585205376054653,0.5215363033899519,3.196713236363475,0.00216053667867655,False,True
ili_japan,2,PatchTST,0.6804997798647541,0.5884695799091134,1.9159804452409759,0.059635611841734715,False,False
ili_japan,4,DLinear,1.3121672746521822,1.0914017297927985,2.5208461672197644,0.014170234959844707,False,True
ili_japan,8,DLinear,2.1327034158909575,1.382966910148207,3.841658932270386,0.00029353203738091693,False,True
ili_us_hhs,2,PatchTST,0.12673923724736924,0.11669177764501328,1.9397755876103686,0.05422255441447321,False,False
ili_us_hhs,4,PatchTST,0.2232172693525042,0.20053348169698343,2.6128196083497284,0.009875633302501186,False,True
ili_us_hhs,8,PatchTST,0.41612494659423827,0.3010189119974772,4.1783643986108014,4.982996951863328e-05,False,True
