dataset,pred_len,CSLL2-backbone,CSLL2-phaseoff,CSLL2-static,CSLL2,phase_gain_%,branch_gain_%
ili_japan,2,0.9248042271740994,0.8524186460982773,0.8251699225625049,0.7028826055896745,17.54255859993969,23.996605450490325
ili_japan,4,1.4850032851692427,1.452623609981049,1.4915116804275825,1.2865031902543607,11.435888731620956,13.366980187674093
ili_japan,8,2.24285510256699,2.2180868378767733,2.2322116381405857,2.1364465703464597,3.680661466277957,4.744333777904056
ili_us_hhs,2,0.15748027104597825,0.14575295753968068,0.1432162782065889,0.12671182522406946,13.06397663349462,19.537968545231664
ili_us_hhs,4,0.2890596441376261,0.2624901408240909,0.2735366538489536,0.22262741270519437,15.186371569517627,22.98218820223906
ili_us_hhs,8,0.5147944361368815,0.45947206581963435,0.49914559173583983,0.4084461415608724,11.105337637390164,20.658400151731936
ili_us_state,2,0.35944583121988066,0.35378468670561314,0.3620720452431736,0.2995382840576055,15.333168643657675,16.666641245764907
ili_us_state,4,0.5384473108650606,0.5329191669914293,0.5743899096707368,0.4601583747860009,13.653251133036944,14.539758022615429
ili_us_state,8,0.8773282192565582,0.8694714345587666,0.8937979191151793,0.7827957551058895,9.968778272383693,10.775039725813775
metr_la,12,0.4531844707322413,0.42775174025520313,0.4372168314110734,0.4444464123486649,-3.9028881760951966,1.9281460305684581
metr_la,24,0.6786871306434817,0.6315110023033704,0.6501045098985406,0.6536735256725615,-3.509443744979204,3.6855870461554385
metr_la,48,0.9688420799552734,0.905557219058755,0.9359067413440388,0.9263821194085802,-2.299678022717417,4.382547107022166
metr_la,96,1.2752734213039902,1.2019406171742177,1.2328314192161436,1.2557678756834323,-4.478362553032222,1.5295187129841674
pems_bay,12,0.393029596631286,0.33216074597092576,0.34058389605157696,0.3248527089505089,2.200150712889041,17.346502213861545
pems_bay,96,1.2445668454645558,0.9658284732018751,,1.0241606506627685,-6.039600102853968,17.7094702148776
