name,params,train_s
CSLL2,33255.0,115.3366352541972
DLinear,18624.0,9.688517957022697
NLinear,9312.0,4.66750947209715
PatchTST,216462.0,306.75342021529207
SeasonalNaive,0.0,0.0
VAR,0.0,0.6087313745079971
iTransformer,422886.0,1333.0495648445753
